Here is a structured summary of the provided API documentation for "Oauth | Tiktok":

### STRUCTURED SUMMARY: Oauth | Tiktok

1.  **ENDPOINT NAME:** Oauth | Tiktok

2.  **CATEGORY:** Social Planner

3.  **HTTP METHOD:** Not specified in documentation
    *   *Note:* This page describes a collection of functionalities related to TikTok OAuth. For the "Starts OAuth For Tiktok Account" and "Starts OAuth For Tiktok Business Account" operations, the method involves opening an API in a new browser window (client-side redirection) rather than a direct server-side HTTP request described with standard methods like GET or POST on this page.

4.  **ENDPOINT URL:** Not specified in documentation
    *   *Note:* This page serves as an overview for several related TikTok OAuth functionalities. Specific API endpoint URLs for the listed operations are not provided directly on this page; instead, links to their respective documentation pages are given.

5.  **FULL URL:** `https://marketplace.gohighlevel.com/docs/ghl/social-planner/oauth-tiktok/index.html`
    *   *Note:* This is the URL of the documentation page itself, not a specific API endpoint URL.

6.  **REQUIRED PARAMETERS:** Not specified in documentation
    *   *Note:* The documentation mentions "appropriate params and headers" for initiating OAuth flows but does not list or describe any specific required parameters on this page.

7.  **OPTIONAL PARAMETERS:** Not specified in documentation

8.  **AUTHENTICATION:** OAuth
    *   The entire section is dedicated to integrating TikTok accounts using the OAuth 2.0 authorization framework. Specific scopes, authorization flows, or token types for direct API calls (beyond the initial OAuth setup) are not detailed on this overview page.

9.  **RESPONSE FORMAT:**
    *   For the "Starts OAuth For Tiktok Account" and "Starts OAuth For Tiktok Business Account" operations: "On successful login, listen on window object for message where event listener returns data in its callback function." This indicates a client-side JavaScript approach to handle the OAuth redirect response.
    *   For "Get Tiktok profile," "Attach Tiktok profile," and "Get Tiktok Business profile," the response format is not specified in this documentation.

10. **PURPOSE:** This documentation page provides an overview of the HighLevel Social Planner API functionalities for integrating and managing TikTok (personal and business) accounts through OAuth. It outlines the processes for initiating OAuth flows, as well as obtaining and attaching TikTok profiles, serving as a gateway to more detailed documentation for each specific operation.

11. **TAGS:** Social Planner, TikTok, OAuth, Social Media, Integration, Account Management, Business Account, Profile, Authentication, API.

**Sub-Endpoints Listed on This Page (Details Not Fully Provided Here):**

*   **Starts OAuth For Tiktok Account**
    *   Purpose: Open the API in a window with appropriate params and headers, navigating the user to the TikTok login OAuth screen. On successful login, client-side JavaScript should listen for a message on the window object to retrieve returned data.
*   **Get Tiktok profile**
    *   Purpose: Retrieve a TikTok user profile.
*   **Attach Tiktok profile**
    *   Purpose: Attach a TikTok user profile to the HighLevel platform.
*   **Starts OAuth For Tiktok Business Account**
    *   Purpose: Open the API in a window with appropriate params and headers, navigating the user to the TikTok Business login OAuth screen. On successful login, client-side JavaScript should listen for a message on the window object to retrieve returned data.
*   **Get Tiktok Business profile**
    *   Purpose: Retrieve a TikTok Business user profile.
